offert,Datum,Vår referens,Er referens,Kund,Profil nr/Kund ref,Vikt kg/m,Längd/m m,Kap + truml Pris/st,ca antal Årsvolym st,Prix kr/st SEK,Legering,Verktygskostnad,Toleranser,Ytbehandling,Lev. längd,Lev. villkor,Lev. tid,NOT,Betalningsvillkor,Giltighet,Allmänna villkor,Råvara,outlier_flag,pris_per_kg
Offert 2,2025-02-25,Erik Svensson,Maria Lindgren,2.961171933686405,2.924544744130094,1.342,23.8,0.78,40000.0,2.92,Rå,14500kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Halmstad,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-05-30,NAPFV2017,"3,4 Euro / kg",False,0.09142256008215506
Offert 2,2025-02-25,Erik Svensson,Maria Lindgren,2.9275944944970096,2.924544744130094,1.342,25.8,0.78,40000.0,3.0279999999999996,Rå,14500kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Halmstad,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-05-30,NAPFV2017,"3,4 Euro / kg",False,0.08745479961644656
Offert 2,2025-02-25,Erik Svensson,Maria Lindgren,2.9793692704901202,2.9793927749305062,1.342,23.8,0.78,85000.0,2.88,Rå,14500kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Halmstad,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-05-30,NAPFV2017,"3,4 Euro / kg",False,0.09017019624541321
Offert 2,2025-02-25,Erik Svensson,Maria Lindgren,2.930958916043835,2.9303202826519548,1.342,25.8,0.78,85000.0,3.01,Rå,14500kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Halmstad,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-05-30,NAPFV2017,"3,4 Euro / kg",False,0.08693492300049675
Offert 3,2025-03-01,Gustav Bergström,Anders Johansson,2.6811548777038223,2.6808829769408247,1.156,21.5,0.72,65000.0,2.65,Rå,12800kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 7-9 veckor från order därefter 4-5 veckor,"Minst 18000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-06-15,NAPFV2017,"3,2 Euro / kg",False,0.10662267643035327
Offert 3,2025-03-01,Gustav Bergström,Anders Johansson,2.655219037120075,2.655335088074509,1.156,23.5,0.72,65000.0,2.72,Rå,12800kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 7-9 veckor från order därefter 4-5 veckor,"Minst 18000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-06-15,NAPFV2017,"3,2 Euro / kg",False,0.10012515644555696
Offert 3,2025-03-01,Gustav Bergström,Anders Johansson,2.6860622431709533,2.6863193785684887,1.156,21.5,0.72,120000.0,2.632,Rå,12800kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 7-9 veckor från order därefter 4-5 veckor,"Minst 18000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-06-15,NAPFV2017,"3,2 Euro / kg",True,0.10589844693007162
Offert 3,2025-03-01,Gustav Bergström,Anders Johansson,2.6725204308984436,2.671895232606682,1.156,23.5,0.72,120000.0,2.68,Rå,12800kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 7-9 veckor från order därefter 4-5 veckor,"Minst 18000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-06-15,NAPFV2017,"3,2 Euro / kg",False,0.09865272767429878
Offert 1,2025-02-24,Filip Ehnberg,Daniel Fredriksson,2.830210278325072,2.8300728638430437,1.288,24.6,0.75,50000.0,2.8,Rå,13200kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-04-30,NAPFV2017,"3,3 Euro / kg",False,0.0883704489218805
Offert 1,2025-02-24,Filip Ehnberg,Daniel Fredriksson,2.7899930465525578,2.8102352659479686,1.288,25.6,0.75,50000.0,2.86,Rå,13200kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-04-30,NAPFV2017,"3,3 Euro / kg",False,0.08673815993788819
Offert 1,2025-02-24,Filip Ehnberg,Daniel Fredriksson,2.8365610298470263,2.829720595235631,1.288,24.6,0.75,100000.0,2.78,Rå,13200kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-04-30,NAPFV2017,"3,3 Euro / kg",False,0.08773923142958136
Offert 1,2025-02-24,Filip Ehnberg,Daniel Fredriksson,2.7899930465525578,2.829720595235631,1.288,25.6,0.75,100000.0,2.85,Rå,13200kr,EN 755-9,EN-AW-6063-T5,Längder enligt ovan,Ex Works Markaryd,första 8-10 veckor från order därefter 5-6 veckor,"Minst 15000 bitar kapade, ok att blanda längder, inkl trumling","30 dagar netto. Dröjsmålsränta 7,5%",Offererade priser gäller fast för leveranser t.o.m. 2025-04-30,NAPFV2017,"3,3 Euro / kg",False,0.0864348796583851
